Mois,Ordinateurs,Téléphones,Tablettes,Accessoires,Dépenses marketing,Satisfaction client (sur 10)
Janvier,"$1,200.0",$950,$500,$300,$700,8.2
Février,"$1,300.0","$1,050",$600,$350,$750,8.5
Mars,"$1,450.0",$980,$700,$380,$780,8.7
Avril,"$1,600.0","$1,100",$800,$420,$800,8.8
Mai,"$1,550.0","$1,200",$850,$450,$820,9
Juin,"$1,700.0","$1,250",$900,$460,$830,9.1
Juillet,"$1,800.0","$1,300",$950,$500,$850,9.3
Août,"$1,750.0","$1,280",$920,$490,$860,9.2
Septembre,"$1,900.0","$1,400","$1,000",$530,$880,9.4
Octobre,"$2,000.0","$1,500","$1,100",$550,$900,9.5
Novembre,"$2,100.0","$1,600","$1,200",$600,$950,9.6
Décembre,"$2,500.0","$1,800","$1,500",$700,"$1,000",9.8
